,ID,Group,Feature_1,Feature_2,Feature_3
0,ID000,A,2776.169681504332,414.7946223246059,6276.21446020289
1,ID001,C,2402.3547211772366,396.9469056741861,-2004.2546094843867
2,ID002,A,2926.5450644430857,413.0801795095251,6745.294399864878
3,ID003,A,2643.333886610016,398.74863512075547,5939.400478328099
4,ID004,A,2243.3076361014964,400.4990212500089,4722.738541747636
5,ID005,A,2384.3823374980693,394.94095727466026,5185.095457354221
6,ID006,A,2122.5092105128415,385.56694407740906,4431.997613133716
7,ID007,C,2672.9475495076886,389.33333874092125,-2282.8241233472822
8,ID008,A,2438.9886328781786,409.62143781846487,5277.5999035491
9,ID009,C,2910.0871838563985,393.8840052461569,-2521.9098737601057
10,ID010,B,2763.444502717325,411.05576581210283,5512.93106300842
11,ID011,B,2772.954227374792,387.0120659054791,5559.709287946007
12,ID012,A,2665.2681469191207,395.0571447947058,6017.273533833468
13,ID013,B,2563.0043178428496,397.89285817949843,5110.464952625051
14,ID014,A,2651.976158836954,401.03666215068176,5953.632979562738
15,ID015,A,2724.142969719901,415.21886296472184,6075.908087835596
16,ID016,C,3009.4532881786336,400.8228868807983,-2609.582197851907
17,ID017,B,2825.496441921691,401.744106984929,5649.928806144084
18,ID018,A,2785.723273112965,409.4908055181024,6306.700723130394
19,ID019,C,2891.547481135036,383.3963373811921,-2500.340102481919
20,ID020,C,1664.9272083955,408.4922076976698,-1240.703902692557
21,ID021,B,2266.261910642934,405.5347388118598,4524.729556841004
22,ID022,B,2534.763036914646,410.8824466002521,5073.629377257579
23,ID023,A,2209.2824753889518,416.69544880558266,4551.811962407207
24,ID024,C,2179.4143835326436,388.61302952768494,-1775.8734947827277
25,ID025,A,2481.5311591980735,384.0031487597118,5508.210666218787
26,ID026,B,2872.1800809239817,359.51200409024335,5743.912321714635
27,ID027,A,2289.013949159964,389.13905868807734,4924.294664022808
28,ID028,A,2730.3877439673324,415.5110951967228,6122.626480891994
29,ID029,C,3082.2879919261763,380.2123429270565,-2710.187720962687
30,ID030,A,2142.600547874982,409.28525570205466,4396.713954163482
31,ID031,A,2606.2055873387208,392.3910870456186,5859.418697450708
32,ID032,B,2652.0523810388304,401.5111615077785,5311.050788132172
33,ID033,B,2300.4812838363728,401.6092613115886,4575.884536825953
34,ID034,A,2397.0766870065654,401.39676907290186,5206.062919170299
35,ID035,C,2921.593208497844,398.0820118997021,-2514.7127057707607
36,ID036,A,2395.854539073964,402.63497720794294,5175.232095970974
37,ID037,A,2347.6651727087133,423.65652558189146,4925.297291015927
38,ID038,C,3071.835772567551,414.27092345982203,-2677.241686168181
39,ID039,B,3093.323389476414,405.47600890526036,6188.066310049242
40,ID040,C,2400.862411484896,398.04522929488127,-2014.8408835634364
41,ID041,A,2474.676980667133,391.8835607608075,5474.719765471704
42,ID042,C,2215.930073233495,389.33754858232993,-1789.6823137007784
43,ID043,B,2640.4642496844535,378.78971690465795,5278.447051958321
44,ID044,B,3337.4162012381585,402.0454829513175,6692.5081906298
45,ID045,A,2793.7173810850604,395.08657817029314,6414.017408530501
46,ID046,A,2166.6320328179368,397.6200986913735,4529.246604251786
47,ID047,A,2785.4641255561446,405.4656028305396,6325.743805274738
48,ID048,C,2976.086115031753,402.20644065426984,-2598.2263489359802
49,ID049,C,1901.7932206970388,382.67125665192543,-1529.8981110724706
50,ID050,C,2108.715609293846,406.6069576834129,-1708.7290787443155
51,ID051,C,2081.2598971929824,374.0810802221263,-1710.1780826401182
52,ID052,B,2365.064991403532,412.75072909105177,4721.609921985628
53,ID053,B,2335.05697800575,396.93659165505443,4675.163594631876
54,ID054,A,2265.812032330414,395.4147375543012,4828.833897213752
55,ID055,C,2415.4930790973276,384.97639695805384,-2042.9270440875318
56,ID056,C,2454.612712114172,391.48028591271486,-2068.3598973573235
57,ID057,A,2784.8751537424187,406.76658354917856,6325.712419450448
58,ID058,B,2429.5726560380167,425.49678900877615,4888.668317701539
59,ID059,B,2987.3484524907126,405.1093441325106,5967.781973586371
60,ID060,B,2365.7859583637605,413.8578580117966,4721.442078012764
61,ID061,B,2041.1398124786388,400.7805080167282,4090.426444903964
62,ID062,C,3002.764016892033,376.0705433372122,-2628.3768093430663
63,ID063,A,2852.8600666515545,394.6166297245972,6571.967101893368
64,ID064,A,2036.7058036933634,414.7008984745608,4033.678578235275
65,ID065,B,2290.779461651754,390.84443129512164,4564.066636267792
66,ID066,A,2769.38708633726,407.73167460158425,6244.28106463339
67,ID067,C,2902.6752517856617,411.74881898900054,-2494.240505883524
68,ID068,A,2889.5948179026004,399.72553352198025,6685.036888287787
69,ID069,A,2494.688155712409,383.0806237209366,5582.611842367507
70,ID070,A,2610.0237774802217,395.2783519806111,5844.920320509493
71,ID071,B,2701.093900212194,403.172968100466,5402.810550442629
72,ID072,C,2737.955106965945,415.5728255760461,-2314.3414137293194
73,ID073,A,2054.328033306501,399.01706657100897,4176.763566200612
74,ID074,A,2574.6292512367163,399.68340729764697,5730.347717095427
75,ID075,A,2491.5709505500568,383.820630607104,5563.919145191397
76,ID076,C,2710.977006324232,402.28569583326,-2327.1708627961325
77,ID077,C,2631.8992881532845,397.86954395149877,-2251.4839824662786
78,ID078,C,2192.4083394358872,402.56008086546876,-1790.5635023900227
79,ID079,C,2468.976394679365,378.7513997280362,-2107.796610454641
80,ID080,C,2709.522679014377,421.24794890193823,-2290.9075869074954
81,ID081,A,2293.476181490778,374.47967293815054,4997.591311877281
82,ID082,B,2598.8253221840323,404.74762468878595,5192.825019541541
83,ID083,B,2916.754996088494,389.90684023255426,5831.647197074134
84,ID084,A,2731.3395170696213,392.7110168729103,6231.0047869652535
85,ID085,B,1901.594403328349,394.14687762643484,3807.973827530021
86,ID086,C,2655.0721550124076,389.95387081067196,-2272.897247221558
87,ID087,C,2252.0584772980283,375.284558183636,-1878.3352770935428
88,ID088,A,2321.471264130776,414.38433187218635,4895.528672953353
89,ID089,B,2214.697782593763,373.53843291515034,4442.409796339842
90,ID090,C,2863.9184221026485,398.4960569212803,-2464.470707735977
91,ID091,C,2414.3378953244164,397.2907659136996,-2022.9938834321274
92,ID092,B,2382.232889246092,421.6495413428034,4762.110139797932
93,ID093,A,2153.303410286847,371.3674673154072,4613.7571611101985
94,ID094,C,2547.033326725781,374.0588326366596,-2158.672417009123
95,ID095,C,2928.8370091611646,368.2607976661969,-2566.6720994564193
96,ID096,B,2082.0275262735236,419.66503763209494,4166.148530311577
97,ID097,B,1794.3151067287627,396.399370546051,3588.1619262391223
98,ID098,A,2991.2323558886737,409.700433082092,6940.16196305432
99,ID099,B,2402.4289912502377,396.309255877197,4790.398426543727
100,ID100,B,2279.2845388141645,405.06474661410294,4576.324135641967
101,ID101,A,2566.5997385986952,393.9763120974215,5732.990650253346
102,ID102,B,2556.6233078076675,393.6914006368337,5130.061737461166
103,ID103,C,3005.916510144988,405.4598331413344,-2594.853875557909
104,ID104,A,2914.118855363222,409.3017312502988,6680.588405943341
105,ID105,A,3100.668845047549,403.96356952015674,7296.215635081011
106,ID106,B,2414.4312838121964,398.90570568710683,4828.252074314873
107,ID107,B,2635.4734455942316,401.5552342271297,5263.926955894607
108,ID108,A,2851.7437416669636,404.4949176034345,6533.8652439562675
109,ID109,C,2133.4321177582087,388.4400190680744,-1751.0215681698528
110,ID110,B,2380.6854946279745,382.00361765430165,4772.240604369599
111,ID111,A,2596.0640593561484,417.5920302493142,5677.808898931116
112,ID112,B,2939.956671475836,396.41395034407634,5879.802872267314
113,ID113,A,2174.277903413183,379.77590401765406,4619.495737042639
114,ID114,C,2940.089956325113,416.8821698335996,-2517.978202117479
115,ID115,B,2845.5528890524547,404.1786989643739,5684.30393746012
116,ID116,A,2628.0593782145584,395.5071539355503,5926.054648567491
117,ID117,C,2727.413555649075,410.8667794713764,-2313.707258045113
118,ID118,C,3045.2399944139056,395.0794356023157,-2654.7271897520914
119,ID119,A,1814.6421027763424,389.01081869590894,3502.6802748750356
120,ID120,B,2044.8128210397845,395.42464182604874,4090.3371706827193
121,ID121,B,2609.6186180848513,410.87733860827353,5216.333158145776
122,ID122,C,2868.857154410723,416.3275329545445,-2450.868582019947
123,ID123,A,2555.3802799263517,376.26060339895423,5801.226361500745
124,ID124,A,2295.040442017749,404.2237322365866,4849.7172948746465
125,ID125,A,2624.9359589889223,430.56696528757203,5709.047076876278
126,ID126,A,2083.4562005704674,409.0614892198937,4197.879111944473
127,ID127,A,2280.152260834518,410.09277129024935,4792.248820909029
128,ID128,C,2822.9887139770926,395.25973697782393,-2415.611817509968
129,ID129,A,2324.234632160815,381.3750444493819,5048.240212906655
130,ID130,B,1987.5542978119645,398.9441697756926,3957.962934275315
131,ID131,B,2411.1435992352767,406.4927086924337,4840.888854609476
132,ID132,C,2985.77530624294,396.737810344179,-2585.757918802791
133,ID133,B,2575.353278930563,396.37568266947227,5138.819090961854
134,ID134,C,2433.3768360071485,380.67917937117244,-2025.3697800620614
135,ID135,C,2656.890756217412,401.5561670841094,-2252.667360521787
136,ID136,B,1877.531052452483,426.0750297246385,3756.971733386036
137,ID137,C,2851.3992473723565,409.5031254010293,-2438.9068994639674
138,ID138,B,1908.4716191962325,410.38837322889975,3834.3762011385943
139,ID139,C,2293.3241799200105,402.7297740734587,-1868.2660755554668
140,ID140,C,2822.142095409105,384.4850240703077,-2429.5513290681833
141,ID141,C,2933.1184844561326,427.6821511453365,-2520.929566457562
142,ID142,C,2375.61225835465,387.685920527273,-1979.9604112355476
143,ID143,C,2636.6171394639005,376.85125092082404,-2269.3017240874424
144,ID144,B,2555.8220727947487,392.96595667401766,5113.769565639607
145,ID145,C,1868.0124359512781,376.1595597718085,-1494.794555859342
146,ID146,C,2364.6973418349303,396.7973791083581,-1969.5621186227493
147,ID147,A,2290.055482668873,366.6319076671293,5031.234570261741
148,ID148,B,2839.0527508540777,403.6260193172267,5675.685537509577
149,ID149,A,2332.052193235185,417.2755874777684,4888.9737495925265
150,ID150,C,2670.478348908335,396.3660921839902,-2275.5171690813063
151,ID151,C,2090.9379914659635,410.64107436874895,-1692.2093002916251
152,ID152,A,2270.1735618963685,392.86786772090704,4861.234634065093
153,ID153,B,2546.843366999987,407.1453493731454,5112.432606615468
154,ID154,B,2119.3982652214136,398.76957652378803,4259.777267286807
155,ID155,C,2952.903368445351,405.1632438411016,-2550.3088062500233
156,ID156,B,2939.2021234689123,380.2680176225057,5855.118160896497
157,ID157,A,2529.844961713112,405.8903252215943,5551.802447652741
158,ID158,B,2510.215296695753,379.0447240231065,5019.630122936245
159,ID159,B,2333.3478305215053,406.5381478223005,4678.081607809311
160,ID160,A,2483.629521409482,400.98654418054616,5446.181221395599
161,ID161,C,2366.3129500144073,382.4424713334741,-1989.7701893855035
162,ID162,A,2400.153360396256,386.4440881457155,5255.8050018419035
163,ID163,C,2593.396439723057,416.9544599236185,-2183.5077177967796
164,ID164,A,2520.9570990208435,386.11611756526264,5635.674991587893
165,ID165,C,2643.587085197949,396.9108384905742,-2248.078077668714
166,ID166,B,2220.9270462870727,403.36494208370846,4430.854582379175
167,ID167,B,2349.3309983325967,368.85983175106037,4694.6322849067155
168,ID168,A,2523.683618426351,389.7284180318924,5617.095157513857
169,ID169,A,2468.173123668797,407.68308613974125,5364.539771394786
170,ID170,B,2454.7791774621933,390.850909081945,4895.521499046765
